執行時間UTC,日K基準,90日命中率,多空版$,現貨版$,幣,溢價7d,FNG,多空倉位,現貨倉位
2026-07-06 00:39,2026-07-06,54.4,10021,10000,BTC,-11.6,24,-1.0,0
2026-07-06 00:39,2026-07-06,54.4,10021,10000,ETH,-10.9,24,-1.0,0
2026-07-06 00:39,2026-07-06,54.4,10021,10000,SOL,-10.3,24,-1.0,0
2026-07-06 00:39,2026-07-06,54.4,10021,10000,LTC,-9.4,24,-1.0,0
2026-07-06 00:39,2026-07-06,54.4,10021,10000,LINK,-10.4,24,-1.0,0
2026-07-06 00:39,2026-07-06,54.4,10021,10000,ADA,-12.5,24,-1.0,0
2026-07-06 00:39,2026-07-06,54.4,10021,10000,DOGE,-11.2,24,-1.0,0
2026-07-06 00:39,2026-07-06,54.4,10021,10000,XLM,-14.1,24,-1.0,0
2026-07-07 04:43,2026-07-07,54.3,10268,10000,BTC,-9.7,27,-1.0,0
2026-07-07 04:43,2026-07-07,54.3,10268,10000,ETH,-9.2,27,-1.0,0
2026-07-07 04:43,2026-07-07,54.3,10268,10000,SOL,-9.0,27,-1.0,0
2026-07-07 04:43,2026-07-07,54.3,10268,10000,LTC,-8.4,27,-1.0,0
2026-07-07 04:43,2026-07-07,54.3,10268,10000,LINK,-8.5,27,-1.0,0
2026-07-07 04:43,2026-07-07,54.3,10268,10000,ADA,-8.8,27,-1.0,0
2026-07-07 04:43,2026-07-07,54.3,10268,10000,DOGE,-8.9,27,-1.0,0
2026-07-07 04:43,2026-07-07,54.3,10268,10000,XLM,-11.9,27,-1.0,0
2026-07-08 04:09,2026-07-08,55.0,10524,10000,BTC,-9.0,20,-1.0,0
2026-07-08 04:09,2026-07-08,55.0,10524,10000,ETH,-8.6,20,-1.0,0
2026-07-08 04:09,2026-07-08,55.0,10524,10000,SOL,-8.5,20,-1.0,0
2026-07-08 04:09,2026-07-08,55.0,10524,10000,LTC,-8.0,20,-1.0,0
2026-07-08 04:09,2026-07-08,55.0,10524,10000,LINK,-7.6,20,-1.0,0
2026-07-08 04:09,2026-07-08,55.0,10524,10000,ADA,-7.2,20,-1.0,0
2026-07-08 04:09,2026-07-08,55.0,10524,10000,DOGE,-7.9,20,-1.0,0
2026-07-08 04:09,2026-07-08,55.0,10524,10000,XLM,-11.4,20,-1.0,0
2026-07-09 04:48,2026-07-09,55.0,10597,10000,BTC,-8.4,22,-1.0,0
2026-07-09 04:48,2026-07-09,55.0,10597,10000,ETH,-8.4,22,-1.0,0
2026-07-09 04:48,2026-07-09,55.0,10597,10000,SOL,-7.8,22,-1.0,0
2026-07-09 04:48,2026-07-09,55.0,10597,10000,LTC,-6.7,22,-1.0,0
2026-07-09 04:48,2026-07-09,55.0,10597,10000,LINK,-7.6,22,-1.0,0
2026-07-09 04:48,2026-07-09,55.0,10597,10000,ADA,-5.5,22,-1.0,0
2026-07-09 04:48,2026-07-09,55.0,10597,10000,DOGE,-7.7,22,-1.0,0
2026-07-09 04:48,2026-07-09,55.0,10597,10000,XLM,-11.1,22,-1.0,0
2026-07-10 04:44,2026-07-10,54.4,10386,10000,BTC,-8.2,23,-1.0,0
2026-07-10 04:44,2026-07-10,54.4,10386,10000,ETH,-7.7,23,-1.0,0
2026-07-10 04:44,2026-07-10,54.4,10386,10000,SOL,-7.5,23,-1.0,0
2026-07-10 04:44,2026-07-10,54.4,10386,10000,LTC,-6.4,23,-1.0,0
2026-07-10 04:44,2026-07-10,54.4,10386,10000,LINK,-7.6,23,-1.0,0
2026-07-10 04:44,2026-07-10,54.4,10386,10000,ADA,-6.4,23,-1.0,0
2026-07-10 04:44,2026-07-10,54.4,10386,10000,DOGE,-7.2,23,-1.0,0
2026-07-10 04:44,2026-07-10,54.4,10386,10000,XLM,-11.6,23,-1.0,0
